Id,Category
0,3
1,3
2,3
3,3
4,1
5,3
6,3
7,4
8,3
9,1
10,3
11,3
12,3
13,1
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,1
23,3
24,3
25,3
26,3
27,3
28,3
29,1
30,1
31,1
32,3
33,3
34,3
35,1
36,1
37,1
38,1
39,1
40,3
41,1
42,1
43,1
44,6
45,3
46,3
47,1
48,1
49,3
50,3
51,3
52,3
53,1
54,1
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,5
73,1
74,1
75,1
76,1
77,1
78,1
79,4
80,1
81,3
82,3
83,1
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,1
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,1
103,3
104,3
105,3
106,3
107,3
108,3
109,1
110,1
111,3
112,3
113,1
114,1
115,2
116,3
117,1
118,1
119,5
120,3
121,3
122,3
123,1
124,3
125,3
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,4
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,4
143,1
144,6
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,4
153,1
154,1
155,3
156,1
157,1
158,3
159,3
160,3
161,3
162,4
163,3
164,3
165,3
166,3
167,3
168,4
169,3
170,1
171,3
172,3
173,3
174,1
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,1
183,1
184,1
185,1
186,1
187,4
188,1
189,1
190,3
191,1
192,3
193,1
194,1
195,1
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,1
206,4
207,6
208,4
209,4
210,3
211,3
212,4
213,3
214,3
215,1
216,3
217,1
218,6
219,1
220,1
221,1
222,3
223,1
224,1
225,3
226,3
227,3
228,3
229,1
230,3
231,3
232,1
233,4
234,3
235,1
236,1
237,6
238,3
239,3
240,1
241,1
242,3
243,3
244,5
245,1
246,6
247,5
248,1
249,3
250,1
251,3
252,3
253,6
254,3
255,3
256,1
257,1
258,1
259,1
260,3
261,1
262,1
263,1
264,3
265,3
266,3
267,3
268,3
269,1
270,1
271,1
272,1
273,3
274,1
275,3
276,5
277,1
278,6
279,3
280,1
281,1
282,4
283,5
284,1
285,3
286,3
287,5
288,4
289,1
290,3
291,1
292,1
293,3
294,3
295,3
296,3
297,3
298,4
299,1
300,3
301,1
302,3
303,3
304,5
305,6
306,1
307,3
308,1
309,1
310,1
311,1
312,3
313,4
314,4
315,5
316,1
317,3
318,1
319,1
320,1
321,1
322,3
323,3
324,1
325,1
326,3
327,3
328,3
329,3
330,2
331,1
332,3
333,3
334,1
335,1
336,3
337,3
338,1
339,3
340,1
341,3
342,1
343,3
344,4
345,1
346,1
347,1
348,4
349,4
350,1
351,1
352,1
353,4
354,4
355,1
356,1
357,1
358,4
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,4
370,1
371,1
372,1
373,1
374,6
375,1
376,1
377,1
378,1
379,1
380,3
381,3
382,3
383,3
384,5
385,1
386,3
387,1
388,3
389,3
390,1
391,1
392,6
393,1
394,3
395,4
396,3
397,1
398,4
399,1
400,4
401,1
402,1
403,3
404,3
405,1
406,1
407,1
408,1
409,1
410,3
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,3
422,3
423,3
424,3
425,3
426,3
427,2
428,1
429,3
430,1
431,3
432,3
433,3
434,3
435,6
436,3
437,1
438,1
439,1
440,1
441,3
442,3
443,3
444,4
445,3
446,3
447,1
448,3
449,2
450,1
451,3
452,3
453,4
454,3
455,1
456,3
457,3
458,3
459,1
460,1
461,1
462,1
463,1
464,3
465,6
466,5
467,1
468,1
469,3
470,3
471,1
472,3
473,3
474,4
475,3
476,1
477,3
478,1
479,3
480,3
481,3
482,5
483,3
484,1
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,1
495,3
496,1
497,1
498,3
499,3
500,3
501,4
502,3
503,1
504,4
505,3
506,3
507,3
508,3
509,3
510,1
511,1
512,3
513,1
514,3
515,3
516,4
517,1
518,1
519,1
520,3
521,1
522,4
523,1
524,1
525,1
526,1
527,1
528,4
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,3
543,1
544,1
545,1
546,2
547,1
548,3
549,1
550,1
551,2
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,3
562,1
563,3
564,3
565,2
566,1
567,3
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,3
584,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,1
600,1
601,1
602,3
603,3
604,3
605,1
606,3
607,3
608,3
609,4
610,1
611,4
612,4
613,3
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,3
627,1
628,3
629,3
630,4
631,2
632,1
633,3
634,1
635,3
636,3
637,3
638,1
639,3
640,3
641,1
642,3
643,1
644,3
645,3
646,1
647,3
648,2
649,3
650,6
651,3
652,6
653,1
654,4
655,1
656,1
657,4
658,1
659,1
660,1
661,1
662,3
663,3
664,3
665,3
666,3
667,3
668,3
669,3
670,3
671,1
672,2
673,3
674,1
675,3
676,3
677,1
678,3
679,1
680,3
681,3
682,3
683,1
684,3
685,1
686,1
687,4
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,3
706,1
707,3
708,3
709,3
710,3
711,3
712,1
713,1
714,3
715,1
716,1
717,1
718,1
719,6
720,1
721,1
722,1
723,3
724,3
725,1
726,2
727,6
728,1
729,1
730,1
731,1
732,1
733,4
734,4
735,2
736,1
737,2
738,1
739,1
740,3
741,1
742,3
743,2
744,1
745,1
746,1
747,1
748,3
749,3
750,3
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,3
766,4
767,4
768,1
769,1
770,3
771,3
772,1
773,3
774,3
775,3
776,3
777,1
778,3
779,4
780,1
781,1
782,1
783,1
784,1
785,6
786,1
787,1
788,1
789,4
790,1
791,1
792,1
793,4
794,1
795,4
796,3
797,1
798,1
799,3
800,1
801,1
802,1
803,1
804,3
805,3
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,3
815,3
816,3
817,3
818,3
819,1
820,3
821,3
822,1
823,3
824,1
825,1
826,1
827,1
828,3
829,1
830,1
831,1
832,3
833,4
834,1
835,6
836,1
837,1
838,1
839,4
840,1
841,4
842,1
843,2
844,1
845,3
846,1
847,3
848,4
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,6
857,1
858,4
859,1
860,4
861,1
862,4
863,1
864,1
865,1
866,1
867,1
868,3
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,4
878,4
879,1
880,3
881,1
